Designator,Mid X,Mid Y,Rotation,Layer
12VLED1,69.54,-47.54,0.0,top
3V3LED1,66.375,-39.69,90.0,top
BOOTJUMPER1,71.635,-20.92,270.0,top
C1,65.2,-36.29,270.0,top
C10,75.425,-33.44,90.0,top
C11,73.54,-43.17,0.0,top
C12,68.275,-33.94,0.0,top
C13,74.6,-30.115,270.0,top
C14,70.7,-30.115,90.0,top
C15,62.35,-41.86,270.0,top
C16,63.325,-41.865,270.0,top
C17,51.02,-41.28,90.0,top
C18,91.89,-41.1375,270.0,top
C19,92.095,-49.995,270.0,top
C2,68.05,-36.27,90.0,top
C20,60.155,-33.759,270.0,top
C21,59.510623,-30.981144,90.0,top
C22,59.235,-33.759,270.0,top
C23,54.44,-31.169,90.0,top
C24,49.815492,-35.99,180.0,top
C25,51.895,-35.99,0.0,top
C26,52.815,-27.579,180.0,top
C27,52.815,-26.659,180.0,top
C28,83.1,-50.835,270.0,top
C29,94.36,-35.7,0.0,top
C3,63.45,-23.21,180.0,top
C30,95.2,-27.74,0.0,top
C31,98.365,-41.8875,270.0,top
C32,98.57,-50.74,270.0,top
C33,89.6,-50.89,270.0,top
C34,95.295,-21.255,0.0,top
C35,95.3525,-29.265,0.0,top
C36,71.9,-44.42,0.0,top
C37,71.46,-45.8,90.0,top
C4,65.72,-34.89,0.0,top
C5,66.15,-36.29,270.0,top
C6,67.1,-36.29,270.0,top
C7,70.175,-33.015,180.0,top
C8,70.33,-23.19,180.0,top
C9,70.15,-33.99,180.0,top
D1,48.6,-41.27,0.0,top
D2,75.35,-45.32,270.0,top
ENJUMPER1,65.48,-20.9,270.0,top
J1,64.77,-53.14,180.0,top
J2,76.15,-51.12,0.0,top
J3,86.475,-27.84,0.0,bottom
L1,67.6,-34.89,0.0,top
L2,72.2,-32.865,90.0,top
L3,56.967434,-28.601039,180.0,top
R1,65.3,-23.19,180.0,top
R10,52.975,-40.49,0.0,top
R11,73.15,-46.06,90.0,top
R12,77.575,-46.545,270.0,top
R13,78.575,-46.535,90.0,top
R14,61.2,-30.09,270.0,top
R15,57.155,-34.619,0.0,top
R16,50.967715,-27.569,180.0,top
R17,49.107715,-27.569,180.0,top
R18,78.13,-24.44,270.0,bottom
R2,72.11,-26.97,0.0,top
R3,67.175,-38.24,0.0,top
R4,65.375,-39.69,270.0,top
R5,68.25,-32.99,180.0,top
R6,74.425,-33.44,270.0,top
R7,69.54,-48.48,0.0,top
R8,51.625,-43.99,180.0,top
R9,52.975,-41.99,180.0,top
TXLED1,74.0,-26.99,180.0,top
U1,73.5,-38.59,0.0,top
U10,95.27,-24.48,90.0,top
U11,69.735,-45.115,180.0,top
U2,58.16,-41.19,180.0,top
U3,61.875,-32.327,90.0,top
U4,56.972074,-32.349,90.0,top
U5,50.945492,-31.750186,90.0,top
U6,95.14,-41.87,0.0,top
U7,95.34,-50.815,0.0,top
U8,86.37,-50.83,0.0,top
U9,95.39,-32.49,90.0,top
USBLED1,77.575,-44.615,270.0,top
Y1,72.6,-30.515,0.0,top
